INSERT INTO `dede_uploads` VALUES('1','0','1-1605031342490-L.jpg','/uploads/allimg/160503/1-1605031342490-L.jpg','1','0','0','0','110976','1462254169','1');
INSERT INTO `dede_uploads` VALUES('59','19','十号产品展示','/uploads/allimg/160503/1-160503161550-50.jpg','0','0','0','0','33148','1462263350','1');
INSERT INTO `dede_uploads` VALUES('60','19','十号产品展示','/uploads/allimg/160503/1-160503161550-51.jpg','0','0','0','0','41653','1462263350','1');
INSERT INTO `dede_uploads` VALUES('61','19','十号产品展示','/uploads/allimg/160503/1-160503161550-52.jpg','0','0','0','0','32703','1462263350','1');
INSERT INTO `dede_uploads` VALUES('62','19','十号产品展示','/uploads/allimg/160503/1-160503161550-53.jpg','0','0','0','0','34825','1462263350','1');
INSERT INTO `dede_uploads` VALUES('63','19','十号产品展示','/uploads/allimg/160503/1-160503161550-lp.jpg','1','0','0','0','32213','1462263363','1');
INSERT INTO `dede_uploads` VALUES('64','18','九号产品展示','/uploads/160503/1-16050316161Q02.jpg','1','355','355','0','33148','1462263378','1');
INSERT INTO `dede_uploads` VALUES('65','20','十一号产品展示','/uploads/allimg/160503/1-160503161G0.jpg','0','0','0','0','41653','1462263430','1');
INSERT INTO `dede_uploads` VALUES('66','20','十一号产品展示','/uploads/allimg/160503/1-160503161G1.jpg','0','0','0','0','32703','1462263431','1');
INSERT INTO `dede_uploads` VALUES('67','20','十一号产品展示','/uploads/allimg/160503/1-160503161G1-50.jpg','0','0','0','0','34319','1462263431','1');
INSERT INTO `dede_uploads` VALUES('68','20','十一号产品展示','/uploads/allimg/160503/1-160503161G1-51.jpg','0','0','0','0','34825','1462263431','1');
INSERT INTO `dede_uploads` VALUES('69','20','十一号产品展示','/uploads/allimg/160503/1-160503161G0-lp.jpg','1','0','0','0','35291','1462263439','1');
INSERT INTO `dede_uploads` VALUES('70','21','十二号产品展示','/uploads/allimg/160503/1-160503161J9.jpg','0','0','0','0','49245','1462263469','1');
INSERT INTO `dede_uploads` VALUES('71','21','十二号产品展示','/uploads/allimg/160503/1-160503161K0.jpg','0','0','0','0','35720','1462263470','1');
INSERT INTO `dede_uploads` VALUES('72','21','十二号产品展示','/uploads/allimg/160503/1-160503161K0-50.jpg','0','0','0','0','33148','1462263470','1');
INSERT INTO `dede_uploads` VALUES('73','21','十二号产品展示','/uploads/allimg/160503/1-160503161K0-51.jpg','0','0','0','0','41653','1462263470','1');
INSERT INTO `dede_uploads` VALUES('74','21','十二号产品展示','/uploads/allimg/160503/1-160503161J9-lp.jpg','1','0','0','0','21943','1462263480','1');
INSERT INTO `dede_uploads` VALUES('75','22','十三号产品展示','/uploads/allimg/160503/1-160503161Q0.jpg','0','0','0','0','35720','1462263490','1');
INSERT INTO `dede_uploads` VALUES('76','22','十三号产品展示','/uploads/allimg/160503/1-160503161Q1.jpg','0','0','0','0','33148','1462263491','1');
INSERT INTO `dede_uploads` VALUES('77','22','十三号产品展示','/uploads/allimg/160503/1-160503161Q1-50.jpg','0','0','0','0','41653','1462263491','1');
INSERT INTO `dede_uploads` VALUES('78','22','十三号产品展示','/uploads/allimg/160503/1-160503161Q1-51.jpg','0','0','0','0','32703','1462263491','1');
INSERT INTO `dede_uploads` VALUES('79','22','十三号产品展示','/uploads/allimg/160503/1-160503161Q0-lp.jpg','1','0','0','0','32213','1462263500','1');
INSERT INTO `dede_uploads` VALUES('80','23','十四号产品展示','/uploads/allimg/160503/1-160503161U2.jpg','0','0','0','0','33148','1462263532','1');
INSERT INTO `dede_uploads` VALUES('81','23','十四号产品展示','/uploads/allimg/160503/1-160503161U2-50.jpg','0','0','0','0','41653','1462263532','1');
INSERT INTO `dede_uploads` VALUES('82','23','十四号产品展示','/uploads/allimg/160503/1-160503161U2-51.jpg','0','0','0','0','32703','1462263532','1');
INSERT INTO `dede_uploads` VALUES('83','23','十四号产品展示','/uploads/allimg/160503/1-160503161U2-52.jpg','0','0','0','0','34319','1462263532','1');
INSERT INTO `dede_uploads` VALUES('84','23','十四号产品展示','/uploads/allimg/160503/1-160503161U2-lp.jpg','1','0','0','0','30653','1462263536','1');
INSERT INTO `dede_uploads` VALUES('85','24','十五号产品展示','/uploads/allimg/160503/1-160503161Z7.jpg','0','0','0','0','32703','1462263547','1');
INSERT INTO `dede_uploads` VALUES('86','24','十五号产品展示','/uploads/allimg/160503/1-160503161Z7-50.jpg','0','0','0','0','34319','1462263547','1');
INSERT INTO `dede_uploads` VALUES('87','24','十五号产品展示','/uploads/allimg/160503/1-160503161Z7-51.jpg','0','0','0','0','34825','1462263547','1');
INSERT INTO `dede_uploads` VALUES('88','24','十五号产品展示','/uploads/allimg/160503/1-160503161Z7-52.jpg','0','0','0','0','31885','1462263547','1');
INSERT INTO `dede_uploads` VALUES('89','24','十五号产品展示','/uploads/allimg/160503/1-160503161Z7-lp.jpg','1','0','0','0','32115','1462263557','1');
INSERT INTO `dede_uploads` VALUES('90','25','十六号产品展示','/uploads/allimg/160503/1-160503161936.jpg','0','0','0','0','49245','1462263576','1');
INSERT INTO `dede_uploads` VALUES('91','25','十六号产品展示','/uploads/allimg/160503/1-160503161936-50.jpg','0','0','0','0','35720','1462263576','1');
INSERT INTO `dede_uploads` VALUES('92','25','十六号产品展示','/uploads/allimg/160503/1-160503161937.jpg','0','0','0','0','34319','1462263577','1');
INSERT INTO `dede_uploads` VALUES('93','25','十六号产品展示','/uploads/allimg/160503/1-160503161937-50.jpg','0','0','0','0','34825','1462263577','1');
INSERT INTO `dede_uploads` VALUES('94','25','十六号产品展示','/uploads/allimg/160503/1-160503161937-51.jpg','0','0','0','0','31885','1462263577','1');
INSERT INTO `dede_uploads` VALUES('95','25','十六号产品展示','/uploads/allimg/160503/1-1605031619410-L.jpg','1','0','0','0','34825','1462263581','1');
